id,date_established,year_balance,date_status,status,nuts1,nuts2,nuts3,roe,rcem,solr,rshf,rcem.1,solr.1,empl,rtas,roa,prma,grma,etma,ebma,cfop,evet,mkcf,nat,ic,stot,coll,crpe,liqr,curr,shlq,solr.2,soll,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape
N7PW82,1976-01-21,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH53 - Reggio Emilia,11.642,14.84,76.864,15.77,14.887,76.863,17,12.232,8.98,13.246,NA,15.84,13.03,12.574,NA,NA,1.134,NA,49.084,79.901,50.975,3.959,4.059,16.052,76.89,NA,6.33,14.527,119.103,28.429,34.016,99.135,12.128,119.284
7M4E3H,2014-10-23,2017,NA,Active,ITF - South,ITF3 - Campania,ITF31 - Caserta,NA,NA,-1.446,NA,NA,-1.451,4,0.612,0.617,0.187,NA,1.038,0.213,1.025,NA,NA,NA,20.966,NA,-0.084,95.988,0.951,0.951,-1.042,-1.434,NA,NA,0.201,1068.966,10.619,114.132,NA,NA,1068.569
3IK65T,1960-06-29,2016,2017-12-18,Dissolved,ITH - Northeast,ITH5 - Emilia-Romagna,ITH52 - Parma,-199.638,-199.104,21.827,-199.448,-199.142,21.829,NA,-43.559,-43.553,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,-0.15,NA,0.011,0.009,NA,21.82,27.941,5.952,NA,NA,NA,NA,NA,NA,NA
H673QP,1973-01-10,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH32 - Vicenza,14.826,10.653,35.731,16.201,10.462,35.737,9,5.784,5.352,3.417,NA,6.236,3.908,5.514,NA,NA,2.685,8.013,59.012,0.159,0.108,0.929,0.999,1.284,35.756,55.628,76.028,7.147,270.646,7.921,21.114,57.09,5.054,270.061
RY4T17,2012-03-14,2017,NA,Active,ITG - Insular Italy,ITG2 - Sardegna,ITG28 - Oristano,-1.777,-0.31,13.83,-2.383,-0.291,13.806,4,-0.323,-0.259,-2.821,NA,19.445,-1.687,19.09,NA,NA,0.166,-1.613,26.977,187.96,483.01,0.82,0.828,0.084,13.833,16.04,492.175,-4.663,99.182,19.938,19.857,115.845,-79.059,99.944
973DQZ,1996-07-25,2017,NA,Active,ITF - South,ITF4 - Puglia,ITF46 - Foggia,28.75,28.714,18.078,43.241,28.692,18.084,12,7.79,5.176,8.934,NA,21.824,11.805,15.928,NA,NA,2.417,4.185,3.162,92.862,50.806,0.44,0.882,1.121,18.094,22.091,175.297,14.744,183.594,16.97,30.955,38.084,79.032,181.81
J68MV5,1998-01-21,2017,NA,Active,ITF - South,ITF4 - Puglia,ITF46 - Foggia,3.874,2.896,19.805,4.899,3.108,19.815,6,0.953,0.745,1.193,NA,5.202,3.093,3.087,NA,NA,0.99,1.502,4.882,63.934,75.943,1.118,1.861,0.263,19.828,24.708,305.942,2.78,180.905,30.551,54.983,45.878,30.962,180.135
J81QB4,1997-05-29,2017,NA,Active,ITF - South,ITF3 - Campania,ITF33 - Napoli,27.9,29.526,39.653,41.826,29.205,39.655,178,16.582,11.071,10.212,NA,15.072,12.122,9.781,NA,NA,2.775,40.273,12.891,68.001,50.911,1.361,1.661,2.257,39.657,65.661,81.203,91.596,876.216,5.95,51.975,213.957,111.089,878.04
X8F6G1,2002-07-19,2014,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC42 - Como,NA,NA,NA,NA,NA,NA,17,NA,NA,-82.884,NA,-72.024,-76.173,-85.997,NA,NA,NA,-11.425,NA,7.867,613.896,0.048,0.05,-23.789,NA,NA,NA,NA,180.778,18.831,33.874,NA,NA,181.374
W3PP36,1958-02-05,2017,NA,Active,ITF - South,ITF3 - Campania,ITF33 - Napoli,19.792,16.923,27.291,32.282,17.204,27.318,89,8.781,5.444,8.568,NA,16.025,9.37,11.948,NA,NA,1.816,10.812,13.042,56.149,83.024,0.619,0.8,1.076,27.298,37.559,133.747,33.82,393.701,12.239,48.007,105.119,-0.062,392.548
Q26CK6,1991-01-11,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC44 - Sondrio,10.751,9.706,33.608,14.656,9.714,33.63,21,4.996,3.609,2.641,NA,3.939,2.595,3.295,NA,NA,3.525,24.141,6.951,77.847,62.004,1.05,1.628,1.786,33.61,50.64,79.865,30.113,1081.699,2.849,31.048,193.984,202.929,1084.127
RH96C6,2014-04-18,2017,NA,Active,ITF - South,ITF4 - Puglia,ITF47 - Bari,16.791,22.055,47.58,23.49,21.835,47.561,17,11.272,8.042,13.105,NA,17.413,13.115,13.634,NA,NA,1.661,124.541,5.628,-0.194,-0.003,1.431,1.751,11.177,47.556,90.72,8.954,36.133,270.082,14.66,40.169,148.882,47.862,268.158
VWD271,2009-10-09,2010,2013-04-02,Dissolved,ITF - South,ITF3 - Campania,ITF33 - Napoli,-29.162,8.84,0.137,263.734,8.542,0.151,NA,0.376,-0.038,0.201,NA,0.263,0.253,0.007,NA,NA,35.258,5.059,12.382,-0.01,0.035,0.901,1.061,0.046,0.137,0.142,NA,NA,NA,40.55,NA,NA,NA,NA
75ZAC6,1979-06-21,2017,NA,Active,ITI - Centre,ITI3 - Marche,ITI34 - Ascoli Piceno,8.575,10.562,65.512,12.408,10.413,65.522,31,8.188,5.728,7.518,NA,10.14,7.527,7.87,NA,NA,1.394,694.164,2.322,60.029,55.155,1.49,3.61,5.351,65.525,NA,18.894,32.57,454.504,9.291,42.026,274.808,202.911,457.606
319RYV,1978-07-14,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4D - Monza e della Brianza,6.911,6.132,13.252,15.107,6.082,13.269,7,2.005,0.901,1.21,NA,2.24,1.46,1.275,NA,NA,4.265,5.61,4.598,81.882,110.926,0.832,1.412,0.701,13.267,15.269,211.288,4.75,210.975,11.451,23.911,17.168,28.976,212.363
655VFK,1961-12-18,2017,NA,Active,ITF - South,ITF4 - Puglia,ITF46 - Foggia,13.178,13.744,36.777,19.321,13.888,36.765,183,7.058,4.841,6.26,NA,8.199,6.489,6.038,NA,NA,2.148,27.351,34.049,75.069,85.158,1.379,1.448,2.242,36.782,58.189,89.561,22.351,385.532,8.082,31.095,125.825,0.008,386.552
J3QL84,1999-03-17,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH54 - Modena,5.27,9.247,28.066,7.489,9.394,28.031,88,2.154,1.478,2.008,NA,4.901,3.557,2.722,NA,NA,2.613,2.249,2.701,59.061,84.871,0.658,1.32,2.186,28.044,38.982,123.001,13.173,737.776,5.088,37.827,194.017,219.055,740.703
Y59E4C,1983-01-26,2016,NA,Active,ITF - South,ITF4 - Puglia,ITF46 - Foggia,8.191,1.911,6.808,11.667,2.137,6.796,15,0.773,0.578,1.323,NA,5.123,2.818,3.235,NA,NA,0.731,1.764,12.91,69.872,15.01,1.301,1.54,0.193,6.822,7.308,NA,1.032,24.75,41.99,11.064,3.075,6.087,27.288
5T3EE9,2016-01-01,2017,NA,Active,ITH - Northeast,ITH1 - Provincia Autonoma di Bolzano/Bozen,ITH10 - Bolzano,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.539,NA,NA,NA,NA,114.53
H77K6A,1977-06-16,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC46 - Bergamo,-2.62,0.085,25.301,-2.413,-0.148,25.317,12,-0.598,-0.691,-0.416,NA,1.598,-0.038,1.153,NA,NA,3.3,-0.144,8.37,64.189,81.081,0.53,0.861,1.236,25.287,33.86,153.083,-2.045,218.442,13.111,29.183,37.948,16.153,220.078
3WM88T,2002-02-26,2016,NA,Liquidation,ITF - South,ITF4 - Puglia,ITF46 - Foggia,0.256,1.23,66.808,0.324,1.435,66.787,5,0.099,0.118,0.794,NA,10.923,7.606,4.16,NA,NA,0.174,1.294,0.791,303.864,256.929,0.588,1.39,5.741,66.804,NA,21.867,0.127,160.756,20.571,32.971,781.994,222.949,157.093
31X1HG,2013-05-14,2015,2017-10-17,Bankruptcy,ITF - South,ITF3 - Campania,ITF34 - Avellino,4.758,36.25,6.324,6.014,36.162,6.348,10,0.397,0.328,0.394,NA,3.019,2.428,0.904,NA,NA,14.926,1.287,1.449,0.148,0.105,0.331,1.04,NA,6.353,6.77,-0.018,1.121,166.144,10.068,17.1,10.995,116.924,166.597
